Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti Celerio ZXI AMT,Celerio ZXI AMT,Maruti,2016,Petrol,"76,727",Automatic,₹3.81 Lakh,Mumbai
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,Petrol,"40,995",Manual,₹5.45 Lakh,Mumbai
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2019,Petrol,"54,705",Automatic,₹9.58 Lakh,Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2016,Petrol,"59,893",Manual,₹3.72 Lakh,Mumbai
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2016,Petrol,"43,273",Manual,₹5.05 Lakh,Mumbai
Maruti Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Maruti,2017,CNG,"56,359",Manual,₹3.69 Lakh,Mumbai
Renault Kwid RXT 0.8,Kwid RXT 0.8,Renault,2016,Petrol,"26,172",Manual,₹2.54 Lakh,Mumbai
Toyota YARIS VX MT,YARIS VX MT,Toyota,2018,Petrol,"30,509",Manual,₹7.83 Lakh,Mumbai
Volkswagen Polo GT TSI AT,Polo GT TSI AT,Volkswagen,2015,Petrol,"70,096",Automatic,₹5.13 Lakh,Mumbai
Honda BR-V 1.5L I-VTEC V CVT,BR-V 1.5L I-VTEC V CVT,Honda,2017,Petrol,"75,870",Automatic,₹6.50 Lakh,Mumbai
Ford Ecosport TITANIUM 1.5L PETROL,Ecosport TITANIUM 1.5L PETROL,Ford,2015,Petrol,"45,779",Manual,₹4.27 Lakh,Mumbai
Renault Kwid RXL,Kwid RXL,Renault,2020,Petrol,"41,196",Manual,₹3.61 Lakh,Mumbai
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2017,Petrol,"44,558",Manual,₹5.36 Lakh,Mumbai
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2017,Petrol,"37,602",Manual,₹3.90 Lakh,Mumbai
Nissan MAGNITE XL TURBO CVT,MAGNITE XL TURBO CVT,Nissan,2022,Petrol,"15,037",Automatic,₹8.00 Lakh,Mumbai
Toyota URBAN CRUISER PREMIUM GRADE MT,URBAN CRUISER PREMIUM GRADE MT,Toyota,2021,Petrol,"18,001",Manual,₹8.95 Lakh,Mumbai
KIA SELTOS GTX PLUS DCT 1.4 PETROL,SELTOS GTX PLUS DCT 1.4 PETROL,KIA,2021,Petrol,"33,374",Automatic,₹14.60 Lakh,Mumbai
MG HECTOR SHARP 2.0 DIESEL,HECTOR SHARP 2.0 DIESEL,MG,2022,Diesel,"29,274",Manual,₹17.36 Lakh,Mumbai
Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Ciaz DELTA 1.5 SHVS MT PETROL,Maruti,2021,Petrol,"30,926",Manual,₹7.77 Lakh,Mumbai
Hyundai VENUE SX PLUS 1.0 TURBO DCT,VENUE SX PLUS 1.0 TURBO DCT,Hyundai,2021,Petrol,"48,355",Automatic,₹9.65 Lakh,Mumbai
Maruti Vitara Brezza ZDI PLUS DUAL TONE,Vitara Brezza ZDI PLUS DUAL TONE,Maruti,2016,Diesel,"99,679",Manual,₹6.74 Lakh,Mumbai
Maruti Wagon R 1.0 LXI,Wagon R 1.0 LXI,Maruti,2013,Petrol,"21,606",Manual,₹2.68 Lakh,Mumbai
Tata Tiago XZA PETROL,Tiago XZA PETROL,Tata,2019,Petrol,"32,045",Automatic,₹5.14 Lakh,Mumbai
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2020,Petrol,"33,723",Manual,₹5.83 Lakh,Mumbai
Maruti Ertiga ZXI,Ertiga ZXI,Maruti,2015,Petrol,"48,033",Manual,₹6.49 Lakh,Mumbai
Hyundai Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Hyundai,2016,Petrol,"38,566",Manual,₹4.69 Lakh,Mumbai
Maruti Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Maruti,2014,CNG,"99,498",Manual,₹2.79 Lakh,Mumbai
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,Hyundai,2019,Petrol,"30,977",Manual,₹5.74 Lakh,Mumbai
Skoda Rapid ACTIVE 1.6 MPI MT PLUS,Rapid ACTIVE 1.6 MPI MT PLUS,Skoda,2013,Petrol,"47,977",Manual,₹3.54 Lakh,Mumbai
