Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Maruti Baleno ALPHA CVT PETROL 1.2,Baleno ALPHA CVT PETROL 1.2,Maruti,2018,Petrol,"19,161",Automatic,₹7.39 Lakh,Bangalore
Honda Jazz 1.2L I-VTEC V CVT,Jazz 1.2L I-VTEC V CVT,Honda,2021,Petrol,"5,141",Automatic,₹9.22 Lakh,Bangalore
Hyundai Eon ERA +,Eon ERA +,Hyundai,2014,Petrol,"35,510",Manual,₹2.85 Lakh,Bangalore
Maruti Baleno ALPHA CVT PETROL 1.2,Baleno ALPHA CVT PETROL 1.2,Maruti,2017,Petrol,"22,358",Automatic,₹7.15 Lakh,Bangalore
Hyundai Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Hyundai,2013,Petrol,"59,998",Manual,₹4.50 Lakh,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2016,Petrol,"30,478",Manual,₹4.06 Lakh,Bangalore
Maruti Ciaz ALPHA 1.4 PETROL,Ciaz ALPHA 1.4 PETROL,Maruti,2018,Petrol,"45,811",Manual,₹7.38 Lakh,Bangalore
Ford FREESTYLE TITANIUM 1.2 PETROL,FREESTYLE TITANIUM 1.2 PETROL,Ford,2020,Petrol,"77,236",Manual,₹5.96 Lakh,Bangalore
Maruti S PRESSO VXI (O),S PRESSO VXI (O),Maruti,2019,Petrol,"44,848",Manual,₹4.30 Lakh,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2019,Petrol,"23,686",Automatic,₹5.34 Lakh,Bangalore
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2017,Petrol,"70,058",Automatic,₹8.24 Lakh,Bangalore
Ford Ecosport TITANIUM 1.5L PETROL,Ecosport TITANIUM 1.5L PETROL,Ford,2018,Petrol,"36,331",Manual,₹7.95 Lakh,Bangalore
Maruti Alto K10 VXI AMT,Alto K10 VXI AMT,Maruti,2023,Petrol,"3,136",Automatic,₹5.67 Lakh,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2015,Petrol,"38,523",Automatic,₹4.09 Lakh,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2020,Petrol,"15,808",Automatic,₹6.06 Lakh,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2011,Petrol,"74,886",Manual,₹2.37 Lakh,Bangalore
Maruti Alto 800 VXI,Alto 800 VXI,Maruti,2013,Petrol,"46,661",Manual,₹2.95 Lakh,Bangalore
Tata Harrier XMA 2.0L KRYOTEC,Harrier XMA 2.0L KRYOTEC,Tata,2021,Diesel,"28,570",Automatic,₹14.74 Lakh,Bangalore
Tata Harrier XT PLUS 2.0L KRYOTEC,Harrier XT PLUS 2.0L KRYOTEC,Tata,2022,Diesel,"49,190",Manual,₹17.40 Lakh,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2017,Petrol,"37,652",Automatic,₹6.80 Lakh,Bangalore
Mahindra XUV300 W8 (O) 1.2 PETROL,XUV300 W8 (O) 1.2 PETROL,Mahindra,2021,Petrol,"6,528",Manual,₹12.24 Lakh,Bangalore
Tata PUNCH ACCOMPLISHED DAZZLE PACK AMT,PUNCH ACCOMPLISHED DAZZLE PACK AMT,Tata,2022,Petrol,"3,572",Automatic,₹8.70 Lakh,Bangalore
Hyundai Eon MAGNA +,Eon MAGNA +,Hyundai,2014,Petrol,"97,619",Manual,₹2.61 Lakh,Bangalore
Mahindra XUV300 W8 (O) 1.2 PETROL AMT,XUV300 W8 (O) 1.2 PETROL AMT,Mahindra,2023,Petrol,"5,990",Automatic,₹13.90 Lakh,Bangalore
Honda WR-V 1.5L I-DTEC VX MT,WR-V 1.5L I-DTEC VX MT,Honda,2017,Diesel,"56,702",Manual,₹8.06 Lakh,Bangalore
Renault Duster 85 PS RXE DIESEL ADVENTURE,Duster 85 PS RXE DIESEL ADVENTURE,Renault,2014,Diesel,"90,841",Manual,₹6.27 Lakh,Bangalore
Mahindra XUV500 W7 AT,XUV500 W7 AT,Mahindra,2019,Diesel,"39,448",Automatic,₹14.08 Lakh,Bangalore
Renault Kwid CLIMBER AMT 1.0,Kwid CLIMBER AMT 1.0,Renault,2023,Petrol,"6,308",Automatic,₹6.59 Lakh,Bangalore
